TSS_vic	freqEct	type_Ect	freqMes	type_Mes	freqSEG	type_SEG	type_DEG	freqDEG
12000	0.07	all	0.05	all	0.015	all	all	0.060000000000000005
13000	0.06	all	0.05	all	0.015	all	all	0.055
14000	0.06	all	0.05	all	0.015	all	all	0.055
15000	0.06	all	0.05	all	0.015	all	all	0.055
16000	0.06	all	0.05	all	0.015	all	all	0.055
17000	0.06	all	0.05	all	0.015	all	all	0.055
18000	0.06	all	0.05	all	0.015	all	all	0.055
19000	0.06	all	0.05	all	0.015	all	all	0.055
20000	0.06	all	0.05	all	0.015	all	all	0.055
21000	0.06	all	0.05	all	0.015	all	all	0.055
22000	0.06	all	0.05	all	0.015	all	all	0.055
23000	0.06	all	0.05	all	0.015	all	all	0.055
24000	0.06	all	0.05	all	0.015	all	all	0.055
25000	0.06	all	0.05	all	0.015	all	all	0.055
26000	0.06	all	0.05	all	0.015	all	all	0.055
27000	0.06	all	0.05	all	0.015	all	all	0.055
28000	0.06	all	0.05	all	0.015	all	all	0.055
29000	0.06	all	0.05	all	0.015	all	all	0.055
30000	0.06	all	0.05	all	0.015	all	all	0.055
31000	0.06	all	0.05	all	0.015	all	all	0.055
32000	0.06	all	0.05	all	0.015	all	all	0.055
33000	0.06	all	0.05	all	0.015	all	all	0.055
34000	0.07	all	0.05	all	0.015	all	all	0.060000000000000005
35000	0.07	all	0.05	all	0.015	all	all	0.060000000000000005
36000	0.07	all	0.05	all	0.015	all	all	0.060000000000000005
37000	0.07	all	0.05	all	0.015	all	all	0.060000000000000005
38000	0.07	all	0.05	all	0.015	all	all	0.060000000000000005
39000	0.07	all	0.05	all	0.015	all	all	0.060000000000000005
40000	0.06	all	0.05	all	0.015	all	all	0.055
41000	0.06	all	0.05	all	0.015	all	all	0.055
42000	0.06	all	0.05	all	0.015	all	all	0.055
43000	0.06	all	0.05	all	0.015	all	all	0.055
44000	0.06	all	0.06	all	0.018	all	all	0.06
45000	0.06	all	0.06	all	0.018	all	all	0.06
46000	0.06	all	0.06	all	0.018	all	all	0.06
47000	0.06	all	0.06	all	0.018	all	all	0.06
48000	0.06	all	0.06	all	0.018	all	all	0.06
49000	0.06	all	0.06	all	0.018	all	all	0.06
50000	0.06	all	0.06	all	0.018	all	all	0.06
51000	0.06	all	0.06	all	0.018	all	all	0.06
52000	0.06	all	0.06	all	0.018	all	all	0.06
53000	0.06	all	0.06	all	0.018	all	all	0.06
54000	0.06	all	0.06	all	0.018	all	all	0.06
55000	0.06	all	0.06	all	0.018	all	all	0.06
56000	0.06	all	0.05	all	0.015	all	all	0.055
57000	0.06	all	0.05	all	0.015	all	all	0.055
58000	0.07	all	0.05	all	0.015	all	all	0.060000000000000005
59000	0.07	all	0.05	all	0.015	all	all	0.060000000000000005
60000	0.07	all	0.06	all	0.018	all	all	0.065
61000	0.07	all	0.06	all	0.018	all	all	0.065
62000	0.07	all	0.06	all	0.018	all	all	0.065
63000	0.06	all	0.06	all	0.018	all	all	0.06
64000	0.06	all	0.06	all	0.018	all	all	0.06
65000	0.06	all	0.06	all	0.018	all	all	0.06
66000	0.06	all	0.06	all	0.018	all	all	0.06
67000	0.06	all	0.06	all	0.018	all	all	0.06
68000	0.06	all	0.06	all	0.018	all	all	0.06
69000	0.06	all	0.06	all	0.018	all	all	0.06
70000	0.06	all	0.06	all	0.018	all	all	0.06
71000	0.06	all	0.05	all	0.015	all	all	0.055
72000	0.06	all	0.05	all	0.015	all	all	0.055
73000	0.06	all	0.05	all	0.015	all	all	0.055
74000	0.05	all	0.04	all	0.012	all	all	0.045
75000	0.05	all	0.04	all	0.012	all	all	0.045
76000	0.05	all	0.04	all	0.012	all	all	0.045
77000	0.05	all	0.04	all	0.012	all	all	0.045
78000	0.04	all	0.03	all	0.009	all	all	0.035
79000	0.05	all	0.04	all	0.012	all	all	0.045
80000	0.05	all	0.04	all	0.012	all	all	0.045
