ge_ect	ge_end	ge_mes	gene_type
-2.72	-7.72	-6.43	DifEct
-1.82	-8.02	-3.48	DifEct
-1.7	-8.27	-7.33	DifEct
-0.42	-6.94	-8.81	DifEct
-4.22	-8.21	-6.93	DifEct
1.85	-1.85	-0.95	DifEct
-1.12	-7.47	-9.34	DifEct
-3.05	-7.18	-9.05	DifEct
-0.03	-8.16	-3.16	DifEct
0.98	-4.9	-0.41	DifEct
-4.83	-8.2	-10.07	DifEct
-2.67	-7.3	-9.17	DifEct
-5.49	-8.34	-7.24	DifEct
-3.19	-8.15	-4.66	DifEct
-3.39	-7.65	-9.51	DifEct
-3.59	-6.07	-7.94	DifEct
-2.2	-6.78	-8.65	DifEct
-2.29	-6.46	-8.32	DifEct
-1.93	-6.61	-8.47	DifEct
-4.24	-8	-9.87	DifEct
-0.34	-2.96	-3.1	DifEct
-2.91	-6.02	-10.03	DifEct
-1.5	-8.45	-5.16	DifEct
-5.17	-9.2	-6.6	DifEct
-3.51	-7.18	-9.05	DifEct
2.61	-0.18	0.48	DifEct
-2.02	-8.36	-4.82	DifEct
0.15	-8.21	-1.38	DifEct
-0.36	-5.23	-8.9	DifEct
0.95	-1.62	-1.69	DifEct
-3.72	-8.62	-5.29	DifEct
0.4	-8.3	-3.23	DifEct
-0.03	-7.1	-7.81	DifEct
-1.84	-7.82	-3.86	DifEct
5.59	2.63	2.44	DifEct
-3.11	-6.7	-8.56	DifEct
-2.64	-6.83	-5.23	DifEct
-1.64	-8.15	-4.86	DifEct
0.47	-2.3	-1.89	DifEct
-2.5	-8.93	-3.86	DifEct
-4.57	-7.34	-9.2	DifEct
-2.82	-7.68	-8.39	DifEct
-3.83	-7.71	-9.58	DifEct
-4.31	-7.15	-9.02	DifEct
-2.37	-4.98	-8	DifEct
2.41	-2.38	-1.57	DifEct
-1.32	-7.76	-3.86	DifEct
-0.9	-4.94	-6.65	DifEct
-2.28	-5.03	-4.58	DifEct
-0.37	-3.1	-2.1	DifEct
-3.05	-6.04	-4.43	DifEct
1.35	-2.54	-0.52	DifEct
-3.01	-6.14	-8.01	DifEct
-3.78	-7.27	-9.13	DifEct
-5.29	-8.14	-7.85	DifEct
-4.11	-7.91	-6.46	DifEct
-0.36	-4.95	-1.99	DifEct
-1.03	-5.04	-4.44	DifEct
3.57	0.51	1.04	DifEct
-2.14	-8.03	-3.56	DifEct
0.45	-5.11	-2.57	DifEct
-0.21	-6.46	-8.32	DifEct
0.24	-8.06	-4.96	DifEct
-4.54	-7.38	-9.25	DifEct
1.19	-5.88	-7.9	DifEct
-3.23	-7.11	-8.82	DifEct
-4.73	-8.05	-9.92	DifEct
-3.45	-7.41	-6.54	DifEct
-2.58	-8.29	-4.05	DifEct
-4.52	-8.28	-6.67	DifEct
-1.32	-7.05	-2.86	DifEct
-3.51	-6.9	-10.35	DifEct
1.48	-7.49	-5.75	DifEct
-2.65	-7.21	-6.33	DifEct
-3.78	-8.07	-9.78	DifEct
-4.3	-6.79	-8.65	DifEct
0.14	-7.54	-6.93	DifEct
-5.14	-7.62	-9.49	DifEct
-3.9	-6.75	-8.61	DifEct
-1.26	-5.55	-7.41	DifEct
0.11	-7.28	-5.3	DifEct
-2.97	-7.32	-4.64	DifEct
2.6	-0.83	0.34	DifEct
-2.62	-7.17	-4.4	DifEct
-3.08	-8.35	-4.64	DifEct
-4.51	-7.64	-9.51	DifEct
-0.28	-5.29	-1.73	DifEct
-3.63	-6.3	-8.17	DifEct
