GE	layer
6.94	Ect
-7.99	Ect
5.25	Ect
8.18	Ect
7.92	Ect
4.95	Ect
3.67	Ect
4.43	Ect
5.52	Ect
3.52	Ect
7.63	Ect
8.97	Ect
10.25	Ect
11.45	Ect
4.49	Ect
7.46	Ect
10.12	Ect
4.96	Ect
2.24	Ect
9.93	Ect
7.85	Ect
10.29	Ect
9.11	Ect
2.8	Ect
7.31	Ect
3.01	Ect
7.11	Ect
8.43	Ect
3.64	Ect
6.9	Ect
8.86	Ect
7.54	Ect
9.3	Ect
5.32	Ect
3.28	Ect
3.56	Ect
9.2	Ect
10.03	Ect
4.36	Ect
7.97	Ect
5.55	Ect
7.07	Ect
4.07	Ect
9.33	Ect
6.83	Ect
6.24	Ect
6.74	Ect
7.07	Ect
2.65	Ect
6.77	Ect
6.75	Ect
1.8	Ect
4.72	Ect
4.74	Ect
5.59	Ect
4.96	Ect
6.39	Ect
4.28	Ect
9.87	Ect
4.64	Ect
4.63	Ect
7.29	Ect
6.59	Ect
6.52	Ect
9.4	Ect
8.82	Ect
4.27	Ect
5.49	Ect
8.1	Ect
8.08	Ect
6.4	Ect
8.12	Ect
6.39	Ect
5.18	Ect
5.67	Ect
4.71	Ect
5.12	Ect
4.19	Ect
5.59	Ect
8.96	Ect
6.63	Ect
6.63	Ect
3.6	Ect
8.27	Ect
6.13	Ect
8.62	Ect
7.19	Ect
8.31	Ect
6.73	Ect
9.43	Ect
10.78	Ect
4.62	Ect
7.38	Ect
8.45	Ect
4.29	Ect
3.75	Ect
6.12	Ect
5.37	Ect
8.03	Ect
4.47	Ect
3.25	Ect
9.2	Ect
4.56	Ect
6.59	Ect
5.24	Ect
8.09	Ect
8.03	Ect
8.77	Ect
6.55	Ect
4.68	Ect
6.49	Ect
8.4	Ect
7.63	Ect
4.45	Ect
4.75	Ect
6.47	Ect
7.42	Ect
5.91	Ect
5.04	Ect
8.89	Ect
9.12	Ect
6.37	Ect
5.94	Ect
8.29	Ect
4.09	Ect
4.19	Ect
5.86	Ect
4.42	Ect
8.45	Ect
8.66	Ect
6.36	Ect
4.24	Ect
7.74	Ect
8.24	Ect
4.34	Ect
5.83	Ect
2.99	Ect
6.36	Ect
2.16	Ect
7.51	Ect
5.06	Ect
8.74	Ect
6.08	Ect
6.02	Ect
7.72	Ect
9.01	Ect
10.18	Ect
5.17	Ect
2.73	Ect
6.37	Ect
7.54	Ect
5.35	Ect
4.26	Ect
6.88	Ect
3.61	Ect
4.41	Ect
9.08	Ect
3.33	Ect
5.02	Ect
7.71	Ect
6.38	Ect
4.1	Ect
9.17	Ect
7.45	Ect
8.8	Ect
6.46	Ect
2.72	Ect
6.26	Ect
5.14	Ect
8.68	Ect
7.52	Ect
4.92	Ect
7.33	Ect
4.09	Ect
6.92	Ect
5.69	Ect
8.02	Ect
9.64	Ect
6.64	Ect
3.94	Ect
4.11	Ect
4.16	Ect
10.07	Ect
10.23	Ect
8.57	Ect
8.15	Ect
2.6	Ect
4.46	Ect
5.66	Ect
3.59	Ect
4.42	Ect
6.82	Ect
3.93	Ect
5.66	Ect
4.74	Ect
3.82	Ect
9.87	Ect
5.79	Ect
7.52	Ect
5.25	Ect
8.65	Ect
4.91	Ect
3.7	Ect
9.8	Ect
4.55	Ect
3.24	Ect
4.72	Ect
4.95	Ect
5.67	Ect
7.46	Ect
4.8	Ect
4.68	Ect
9.2	Ect
3.86	Ect
4.47	Ect
4.69	Ect
8.79	Ect
4.2	Ect
4.76	Ect
4.56	Ect
8.51	Ect
9.17	Ect
7.08	Ect
7.52	Ect
6.91	Ect
7.12	Ect
6.16	Ect
7.71	Ect
8.09	Ect
10.16	Ect
7.64	Ect
5.14	Ect
5.07	Ect
5.34	Ect
5.21	Ect
4.06	Ect
3.97	Ect
5.61	Ect
5.66	Ect
5.64	Ect
7.14	Ect
5.7	Ect
6.86	Ect
8.82	Ect
7.07	Ect
8.37	Ect
5.97	Ect
9.83	Ect
6.43	Ect
4.41	Ect
6.54	Ect
8.21	Ect
5.09	Ect
6.83	Ect
4.13	Ect
7.13	Ect
5.23	Ect
8.99	Ect
3.9	Ect
4.91	Ect
8.55	Ect
4.95	Ect
4.1	Ect
7.54	Ect
5.87	Ect
4.08	Ect
5.29	Ect
5.2	Ect
4.38	Ect
5.44	Ect
7.99	Ect
7.58	Ect
4.52	Ect
8.89	Ect
4.74	Ect
8.4	Ect
7.77	Ect
6.39	Ect
8.52	Ect
6.58	Ect
7.74	Ect
3.35	Ect
2.24	Ect
4.49	Ect
8.49	Ect
4.63	Ect
6.74	Ect
5	Ect
10.27	Ect
7.88	Ect
5.24	Ect
7.83	Ect
8.99	Ect
6.29	Ect
7.97	Ect
8.06	Ect
4.42	Ect
