v	layers
-9.76	Ect
-5.06	Ect
4	Ect
-7.66	Ect
2.31	Ect
-2.86	Ect
1.37	Ect
-2.97	Ect
-1.02	Ect
1.51	Ect
-0.42	Ect
3.48	Ect
-1.4	Ect
-3.84	Ect
-9.8	Ect
-4.95	Ect
-9.83	Ect
3.69	Ect
5.21	Ect
-8.42	Ect
-8.09	Ect
6.69	Ect
-2.68	Ect
0.88	Ect
3.88	Ect
8.1	Ect
-7.47	Ect
10.29	Ect
2.72	Ect
4.11	Ect
-1.93	Ect
1.25	Ect
-8.14	Ect
-8.29	Ect
-7.81	Ect
-1.93	Ect
-8.06	Ect
-1.63	Ect
-8.01	Ect
3.21	Ect
0.39	Ect
2.18	Ect
-1.7	Ect
-3.15	Ect
-6.7	Ect
-6.67	Ect
2.26	Ect
-6.26	Ect
2.4	Ect
1.58	Ect
-8.25	Ect
-8.2	Ect
-8.22	Ect
-8.76	Ect
-8.32	Ect
-9.51	Ect
-8.2	Ect
-8.21	Ect
0.55	Ect
-8.22	Ect
-4.61	Ect
4.12	Ect
-7.57	Ect
-7.02	Ect
-6.14	Ect
3.27	Ect
3.42	Ect
0.33	Ect
2.43	Ect
-4.77	Ect
-4.2	Ect
-1.18	Ect
6.53	Ect
-6.17	Ect
-3.53	Ect
-5.13	Ect
-3.05	Ect
2.25	Ect
0.67	Ect
-8.66	Ect
3.68	Ect
0.65	Ect
-7.36	Ect
-8.69	Ect
0.15	Ect
5.78	Ect
4.92	Ect
-1.61	Ect
2.56	Ect
-0.32	Ect
-7.48	Ect
6.32	Ect
6.49	Ect
-8.69	Ect
2.83	Ect
-8.76	Ect
1.47	Ect
0.01	Ect
2.65	Ect
-5.38	Ect
-7.19	Ect
1.65	Ect
-7.68	Ect
-1.65	Ect
-1.62	Ect
2.26	Ect
1.75	Ect
3.34	Ect
-5.28	Ect
4.87	Ect
6.19	Ect
-0.62	Ect
3.83	Ect
5.34	Ect
3.77	Ect
3.56	Ect
6.73	Ect
4.24	Ect
1.35	Ect
-8.57	Ect
-9.24	Ect
-8.01	Ect
2.23	Ect
-1.88	Ect
-8.17	Ect
-8.55	Ect
3.54	Ect
1.44	Ect
0.54	Ect
-8.73	Ect
-6.27	Ect
-4.83	Ect
-1.82	Ect
0.89	Ect
-4.54	Ect
-0.46	Ect
-1.03	Ect
-1.77	Ect
2.06	Ect
3.41	Ect
-2.67	Ect
-8.39	Ect
-7.81	Ect
-7.8	Ect
-7.28	Ect
-7.82	Ect
-7.8	Ect
-7.97	Ect
-8.03	Ect
-8.3	Ect
-8.75	Ect
-2.45	Ect
-8.68	Ect
0.36	Ect
-4.95	Ect
6.12	Ect
7.16	Ect
2.86	Ect
-1.45	Ect
1.62	Ect
-9.15	Ect
2.46	Ect
2.97	Ect
0.58	Ect
2.78	Ect
-6.46	Ect
-8	Ect
2.38	Ect
7.16	Ect
1.55	Ect
-0.43	Ect
-8.05	Ect
-9.04	Ect
3.48	Ect
-0.11	Ect
-4.28	Ect
5.95	Ect
-4.68	Ect
5.69	Ect
1.93	Ect
-2.15	Ect
-3.08	Ect
-6.05	Ect
-1.37	Ect
-4.03	Ect
-2.79	Ect
3.49	Ect
-8.89	Ect
1.92	Ect
2	Ect
4.25	Ect
4.74	Ect
-6.79	Ect
7.14	Ect
6.3	Ect
-3.86	Ect
-10.16	Ect
-3.49	Ect
-3.83	Ect
-8.15	Ect
-2.36	Ect
-0.34	Ect
-8	Ect
-7.34	Ect
-3.46	Ect
-7.28	Ect
-6.79	Ect
-7.18	Ect
-7.45	Ect
0.49	Ect
3.31	Ect
3.8	Ect
-2.88	Ect
-7.76	Ect
0.52	Ect
1.91	Ect
-7.34	Ect
-5.58	Ect
-8.51	Ect
-6.98	Ect
-0.12	Ect
1.12	Ect
0.76	Ect
5.47	Ect
1.65	Ect
-0.35	Ect
-1.91	Ect
1.57	Ect
-1.64	Ect
-9.16	Ect
2.01	Ect
-3.08	Ect
0.53	Ect
3.72	Ect
-3.9	Ect
-1.79	Ect
0.89	Ect
-1.12	Ect
3.44	Ect
-0.04	Ect
2.88	Ect
-3.53	Ect
-7.79	Ect
0.49	Ect
0.73	Ect
10.23	Ect
-4.99	Ect
-4.31	Ect
-7.28	Ect
-0.99	Ect
-8.79	Ect
1.25	Ect
-7.92	Ect
-0.43	Ect
-7.94	Ect
-4.54	Ect
-7.63	Ect
-0.71	Ect
4.89	Ect
3.68	Ect
4.93	Ect
3.34	Ect
5.32	Ect
-6.12	Ect
5.25	Ect
-5.3	Ect
-2.18	Ect
4.64	Ect
-2.91	Ect
-3.25	Ect
0.71	Ect
-8.25	Ect
2.41	Ect
4.4	Ect
6.36	Ect
-3.94	Ect
2.82	Ect
3.85	Ect
2.41	Ect
-2.24	Ect
3.3	Ect
3.53	Ect
-7.84	Ect
1.9	Ect
-7.21	Ect
-2.35	Ect
-10.23	Ect
5.03	Ect
-9.78	Ect
0.1	Ect
-8.53	Ect
-8.04	Ect
1.36	Ect
1.61	Ect
0.43	Ect
4.03	Ect
-3.21	Ect
-9.57	Ect
-7.98	Ect
3.08	Ect
-7.36	Ect
0.84	Ect
-8.36	Ect
1.34	Ect
2.21	Ect
-8.4	Ect
-5.85	Ect
-7.73	Ect
-6.88	Ect
-0.14	Ect
1.89	Ect
-9.26	Ect
2.46	Ect
3.77	Ect
5.71	Ect
1.03	Ect
-7.78	Ect
-6.85	Ect
-6.94	Ect
-6.36	Ect
-0.18	Ect
-4.79	Ect
-3.42	Ect
5.37	Ect
0.62	Ect
-3.49	Ect
6.27	Ect
2.57	Ect
3.65	Ect
4.8	Ect
-0.13	Ect
1.47	Ect
5.89	Ect
-3.61	Ect
-0.87	Ect
-7.71	Ect
5.61	Ect
-2.59	Ect
3.52	Ect
2.77	Ect
-1.77	Ect
0.61	Ect
-4.48	Ect
5.87	Ect
0.17	Ect
-5.72	Ect
-0.45	Ect
-4.41	Ect
-9.3	Ect
0.64	Ect
-8.4	Ect
-7.57	Ect
5.02	Ect
-7.97	Ect
-8.26	Ect
0.31	Ect
-3.6	Ect
3.26	Ect
0.27	Ect
3.92	Ect
-4.64	Ect
-0.02	Ect
0.9	Ect
2.51	Ect
4.25	Ect
-6.87	Ect
-1.47	Ect
-8.7	Ect
-7.71	Ect
5.62	Ect
0.86	Ect
2.91	Ect
-0.12	Ect
4.02	Ect
-6.1	Ect
-7.18	Ect
-1.25	Ect
-4.14	Ect
-0.84	Ect
-0.24	Ect
-10.43	Ect
2.5	Ect
-7.06	Ect
-9.6	Ect
5.95	Ect
8.16	Ect
-1.7	Ect
2.23	Ect
-7.02	Ect
-0.88	Ect
3.31	Ect
2.9	Ect
0.31	Ect
1.51	Ect
8.33	Ect
-7.95	Ect
-8.11	Ect
-8.02	Ect
2.17	Ect
1.46	Ect
-7.23	Ect
2.44	Ect
1.71	Ect
-8.12	Ect
5.31	Ect
-8.64	Ect
-9.17	Ect
-9.54	Ect
-7.97	Ect
-5.86	Ect
-7.48	Ect
-2.73	Ect
3.05	Ect
-7.8	Ect
3.56	Ect
2.05	Ect
2.76	Ect
-8.61	Ect
-8.28	Ect
-9.21	Ect
-3	Ect
2.36	Ect
2.54	Ect
1.6	Ect
5.8	Ect
1.99	Ect
-7.78	Ect
-6.13	Ect
-8.74	Ect
1.3	Ect
5.41	Ect
-2.87	Ect
0.16	Ect
1.13	Ect
-5.27	Ect
4.86	Ect
-1.92	Ect
2.2	Ect
-0.22	Ect
1.21	Ect
-3.63	Ect
-2.22	Ect
-7.69	Ect
-4.12	Ect
3.48	Ect
-0.5	Ect
-3.4	Ect
-7.65	Ect
4.05	Ect
5.73	Ect
3.12	Ect
-7.25	Ect
3.01	Ect
-8.83	Ect
2.82	Ect
4.55	Ect
-3.74	Ect
-1.83	Ect
-3.01	Ect
0.72	Ect
-3.14	Ect
1.87	Ect
0.37	Ect
-8.41	Ect
-2.6	Ect
-1.96	Ect
0.43	Ect
2.96	Ect
-7.43	Ect
-7.87	Ect
-8.86	Ect
-7.39	Ect
-7.86	Ect
-0.95	Ect
5.04	Ect
-6.99	Ect
-1.21	Ect
2.54	Ect
3.44	Ect
1.7	Ect
-4.01	Ect
6.95	Ect
-0.65	Ect
