V1	V2	V3
1	-3.41	-3.1
2	-3.25	-3.05
3	-3.09	-3.39
4	-2.93	-3.22
5	-2.76	-2.42
6	-2.6	-1.74
7	-2.44	-2.04
8	-2.28	-1.99
9	-2.12	-2.22
10	-1.96	-1.7
11	-1.8	-2.26
12	-1.64	-2.15
13	-1.47	-1.64
14	-1.31	-1.88
15	-1.15	-1.64
16	-0.99	-0.97
17	-0.83	-1.7
18	-0.67	-1.12
19	-0.51	-0.79
20	-0.35	-0.94
21	-0.18	0.03
22	-0.02	0.74
23	0.14	-0.4
25	0.46	2.35
