GE	layer
-3.73	Ect
-3.43	Ect
-3.49	Ect
-1.9	Ect
-1.05	Ect
-2.42	Ect
-0.81	Ect
-2.01	Ect
-2.53	Ect
-1.12	Ect
-3.12	Ect
-3.43	Ect
-0.33	Ect
1.94	Ect
2.02	Ect
-1.65	Ect
2.26	Ect
-0.95	Ect
-1.98	Ect
-2.71	Ect
-0.34	Ect
-4.2	Ect
-4.1	Ect
-3.63	Ect
-4.49	Ect
-3.38	Ect
-1.85	Ect
-4.52	Ect
0.27	Ect
-4.76	Ect
-5.25	Ect
-2.98	Ect
-2.72	Ect
-0.2	Ect
-2.29	Ect
-2.22	Ect
-5.79	Ect
-5.27	Ect
0.75	Ect
0.19	Ect
-3.7	Ect
3.07	Ect
1.83	Ect
2.6	Ect
-3.01	Ect
0.45	Ect
6.95	Ect
-1.56	Ect
-0.58	Ect
-2.03	Ect
2.92	Ect
-5.19	Ect
0.32	Ect
-2.93	Ect
1.76	Ect
-0.41	Ect
-3.23	Ect
-4.78	Ect
-3.31	Ect
2.79	Ect
0.4	Ect
-2.8	Ect
-2.43	Ect
-3.55	Ect
-3.72	Ect
-2.85	Ect
-2.73	Ect
-2.91	Ect
-2.88	Ect
-2.5	Ect
-0.93	Ect
-4.07	Ect
1.82	Ect
-5.21	Ect
-2.19	Ect
-2.57	Ect
-3.53	Ect
-1.6	Ect
-2.11	Ect
-1.1	Ect
-3.08	Ect
-3.64	Ect
-0.38	Ect
-2	Ect
1.9	Ect
1.38	Ect
2.38	Ect
1.69	Ect
-4.02	Ect
-3.8	Ect
-4.96	Ect
-1.83	Ect
-4.57	Ect
1.61	Ect
-4.36	Ect
1.67	Ect
1.46	Ect
-2.66	Ect
-4.83	Ect
2.25	Ect
-1.88	Ect
-4.93	Ect
-2.53	Ect
-3.6	Ect
-4.32	Ect
-3.96	Ect
-5.89	Ect
-0.58	Ect
-4.96	Ect
-3.7	Ect
-2.23	Ect
-0.46	Ect
-1.22	Ect
-3.2	Ect
-1.18	Ect
-3.82	Ect
-2.98	Ect
-0.14	Ect
-3.08	Ect
-2.13	Ect
-0	Ect
-2.9	Ect
-2.18	Ect
3.72	Ect
-4.52	Ect
-1.41	Ect
2.2	Ect
-5.01	Ect
1.59	Ect
-4.81	Ect
-1.82	Ect
-1.66	Ect
-3.09	Ect
-5.29	Ect
0.95	Ect
-1.09	Ect
-4.27	Ect
0.88	Ect
-0.79	Ect
-0.11	Ect
-3.04	Ect
-0.75	Ect
-3.46	Ect
0.21	Ect
-3.01	Ect
0.42	Ect
-2.42	Ect
-2.2	Ect
-1.01	Ect
-1.81	Ect
-1.07	Ect
-4.42	Ect
-4.86	Ect
-3.39	Ect
0.9	Ect
-2.98	Ect
-1.87	Ect
-3.69	Ect
-1.56	Ect
-4.94	Ect
-1.76	Ect
-2.99	Ect
-1.33	Ect
-0.28	Ect
0.2	Ect
-2.65	Ect
-2.93	Ect
-4.12	Ect
-1.27	Ect
-2.79	Ect
-4.1	Ect
-2.46	Ect
-3.41	Ect
-3.68	Ect
-4.01	Ect
-2.66	Ect
-0.46	Ect
-2.3	Ect
-2.45	Ect
-2.72	Ect
-3.77	Ect
0.09	Ect
-0.75	Ect
-0.76	Ect
-3.05	Ect
-2.79	Ect
-4.5	Ect
-3.57	Ect
-3.36	Ect
0.82	Ect
-0.1	Ect
-0.63	Ect
2.75	Ect
-2.78	Ect
-3.39	Ect
-0.88	Ect
-0.19	Ect
-2.35	Ect
-0.7	Ect
-3.08	Ect
-3.33	Ect
-0	Ect
-1.74	Ect
-6.36	Ect
-2.86	Ect
-2.6	Ect
-1.15	Ect
-4.8	Ect
-3.2	Ect
-0.37	Ect
-4.51	Ect
-1.27	Ect
-4.61	Ect
-0.3	Ect
-3.43	Ect
-1.94	Ect
-1.77	Ect
-3.92	Ect
-2.49	Ect
-0.79	Ect
-0.07	Ect
-4.23	Ect
-3.17	Ect
-3.86	Ect
-2.28	Ect
-0.92	Ect
-2.2	Ect
-0.36	Ect
-2.47	Ect
-0.51	Ect
-3.97	Ect
1	Ect
-2.64	Ect
-5.35	Ect
-3.81	Ect
-0.76	Ect
-2.11	Ect
-1.89	Ect
-1.92	Ect
-1.56	Ect
1.66	Ect
-0.17	Ect
-2.86	Ect
-3.75	Ect
-3.74	Ect
1.57	Ect
-2.08	Ect
-3.5	Ect
-2.4	Ect
-1.11	Ect
-2.09	Ect
-4.65	Ect
-5.25	Ect
3.17	Ect
-0.6	Ect
-0.04	Ect
-0.56	Ect
-3.26	Ect
-1.68	Ect
-2.85	Ect
-0.24	Ect
-1.86	Ect
-0.28	Ect
-3.44	Ect
0.81	Ect
-1.06	Ect
-2.81	Ect
-0.99	Ect
-1.62	Ect
-2.29	Ect
-2.77	Ect
-0.33	Ect
-1.57	Ect
-2.44	Ect
-1.17	Ect
-4.33	Ect
-3.28	Ect
-2.14	Ect
-3.35	Ect
-5.16	Ect
-4.46	Ect
-1.46	Ect
-4.26	Ect
-2.64	Ect
-3.1	Ect
-3.78	Ect
-2.59	Ect
-5.32	Ect
-6.31	Ect
-4.25	Ect
-1.98	Ect
-2.92	Ect
-3.51	Ect
0.3	Ect
-1.47	Ect
-1.68	Ect
1.01	Ect
-1.39	Ect
4.81	Ect
-1.18	Ect
-3.5	Ect
2.46	Ect
-0.5	Ect
-0.4	Ect
-1.96	Ect
1.33	Ect
1.11	Ect
-3.79	Ect
-4.54	Ect
-4.41	Ect
-4.04	Ect
0.24	Ect
-4.88	Ect
-2.75	Ect
-2.79	Ect
-4.09	Ect
2.82	Ect
-1.65	Ect
-4.27	Ect
-1.44	Ect
-4.19	Ect
-2.89	Ect
-0.06	Ect
0.6	Ect
-1.32	Ect
-3.5	Ect
2.37	Ect
0.04	Ect
-5.02	Ect
0.25	Ect
1.14	Ect
-2.51	Ect
-0.6	Ect
-2.21	Ect
-2.07	Ect
-3.59	Ect
1.74	Ect
-4.78	Ect
-4.5	Ect
-1.24	Ect
-1.2	Ect
-1.94	Ect
-2.94	Ect
-2.06	Ect
-2.68	Ect
-3.32	Ect
-4.11	Ect
