bin	line
-3.4	4.67
-3.35	4.85
-3.3000000000000003	4.33
-3.25	3.7
-3.2	2.81
-3.15	2.37
-3.1	2.15
-3.0500000000000003	2.44
-3	2.52
-2.95	2.48
-2.9	2.07
-2.85	1.89
-2.8000000000000003	2.11
-2.75	2.56
-2.7	3
-2.65	2.81
-2.6	2.41
-2.5500000000000003	1.67
-2.5	1.26
-2.45	1
-2.4	1.11
-2.35	1.3
-2.3000000000000003	1.56
-2.25	1.74
-2.2	1.85
-2.15	1.7
-2.1	1.33
-2.05	1
-2	1.11
-1.95	1.7
-1.9000000000000001	2.26
-1.85	2.48
-1.8	2.22
-1.75	1.89
-1.7	1.48
-1.6500000000000001	1.33
-1.6	1.3
-1.55	1.63
-1.5	1.93
-1.45	2.37
-1.4000000000000001	2.63
-1.35	2.89
-1.3	2.85
-1.25	2.74
-1.2	2.7
-1.1500000000000001	2.96
-1.1	3.33
-1.05	3.41
-1	2.93
-0.9500000000000001	2.19
-0.9	1.56
-0.85	1.48
-0.8	1.59
-0.75	1.89
-0.7000000000000001	1.96
-0.65	2.11
-0.6	2.19
-0.55	2.41
-0.5	2.59
-0.45	2.63
-0.4	2.3
-0.35000000000000003	1.67
-0.3	1.15
-0.25	1
-0.2	1.22
-0.15	1.3
-0.1	1.22
-0.05	1.15
0	1.41
0.05	1.81
0.1	2.04
0.15	2.11
0.2	1.96
0.25	1.93
0.3	1.85
0.35000000000000003	2.15
0.4	2.59
0.45	3.11
0.5	3.15
0.55	2.74
0.6	2.04
0.65	1.67
0.7000000000000001	1.7
0.75	2.15
0.8	2.3
0.85	2.04
0.9	1.48
0.9500000000000001	1.26
1	1.52
1.05	1.85
1.1	1.85
1.1500000000000001	1.81
1.2	2.07
1.25	2.96
1.3	3.37
1.35	3.52
1.4000000000000001	2.96
1.45	3.04
1.5	2.93
1.55	3.15
1.6	2.67
1.6500000000000001	2.37
1.7	1.78
1.75	1.7
1.8	1.63
1.85	2.19
1.9000000000000001	2.7
1.95	3.48
2	3.52
2.05	3.33
2.1	2.52
2.15	2.04
2.2	1.52
2.25	1.44
2.3000000000000003	1.3
2.35	1.37
2.4	1.3
2.45	1.41
2.5	1.48
2.5500000000000003	1.78
2.6	1.89
2.65	2
2.7	2.04
2.75	2.37
2.8000000000000003	2.63
2.85	2.67
2.9	2.37
2.95	2.11
3	1.93
3.0500000000000003	1.63
3.1	1.15
3.15	0.74
3.2	0.74
3.25	1.22
3.3000000000000003	1.85
3.35	2.19
3.4	1.96
3.45	1.48
3.5	1.15
3.5500000000000003	1.07
3.6	1.07
3.65	1.15
3.7	1.85
3.75	3.07
3.8000000000000003	4.59
3.85	5.15
3.9	5.04
3.95	4.3
4	3.85
4.05	3.56
4.1	3.22
4.15	2.85
4.2	2.56
4.25	2.7
4.3	3.11
4.3500000000000005	3.3
4.4	3.26
4.45	2.85
4.5	2.81
4.55	2.85
4.6000000000000005	3.3
4.65	3.56
4.7	3.78
4.75	3.48
4.8	3.07
4.8500000000000005	2.67
4.9	2.85
4.95	3.22
5	3.52
5.05	3.44
5.1000000000000005	3.26
5.15	3.3
5.2	3.22
5.25	3.11
5.3	2.48
5.3500000000000005	2
5.4	1.48
5.45	1.48
5.5	1.41
5.55	1.41
5.6000000000000005	1.07
5.65	0.81
5.7	0.48
5.75	0.33
5.8	0.22
5.8500000000000005	0.26
5.9	0.26
5.95	0.37
6	0.63
6.05	1.26
6.1000000000000005	1.85
6.15	2.3
6.2	2.3
6.25	2.19
6.3	1.96
6.3500000000000005	1.85
6.4	1.89
6.45	2
6.5	1.96
6.55	1.56
6.6000000000000005	1.04
6.65	0.93
6.7	1.33
6.75	2.19
6.8	2.59
6.8500000000000005	2.74
6.9	2.3
6.95	2.11
7	1.7
7.05	1.74
7.1000000000000005	1.74
7.15	2.37
7.2	2.7
7.25	3
7.3	2.52
7.3500000000000005	2.04
7.4	1.37
7.45	1.07
7.5	0.93
7.55	1.04
7.6000000000000005	1.07
7.65	0.96
7.7	0.7
7.75	0.63
7.8	0.74
7.8500000000000005	1.04
7.9	1.19
7.95	1.3
8	1.22
8.05	1.19
8.1	1.15
8.15	1.22
8.2	1.48
8.25	1.7
8.3	1.96
8.35	1.93
8.4	2.11
8.45	2.52
8.5	3.59
8.55	4.56
8.6	5.3
8.65	5.07
8.700000000000001	4.63
8.75	3.74
8.8	3.22
8.85	2.7
8.9	2.59
8.950000000000001	2.37
9	2.07
9.05	1.67
9.1	1.41
9.15	1.33
9.200000000000001	1.15
9.25	0.96
9.3	0.85
9.35	1.26
9.4	1.74
9.450000000000001	2.33
9.5	2.48
9.55	2.52
9.6	2.19
9.65	2.37
9.700000000000001	3.11
9.75	4.41
9.8	4.78
9.85	3.96
9.9	2.3
9.950000000000001	1.15
10	0.78
10.05	0.96
10.1	1.19
10.15	1.52
10.200000000000001	2.04
10.25	2.78
10.3	3.07
10.35	3
10.4	2.52
10.450000000000001	2.48
10.5	2.41
10.55	2.37
10.6	1.96
10.65	1.74
10.700000000000001	1.67
10.75	1.74
10.8	1.93
10.85	2.37
10.9	2.85
10.950000000000001	3.19
11	3
11.05	2.81
11.1	2.48
11.15	2.33
11.200000000000001	2.22
11.25	2.44
11.3	2.85
11.35	3.04
11.4	2.85
11.450000000000001	2.26
11.5	1.67
11.55	1.19
11.6	0.93
11.65	0.81
11.700000000000001	0.67
11.75	0.78
11.8	1.11
11.85	1.96
11.9	2.41
11.950000000000001	2.56
12	2.11
12.05	2.04
12.1	2.07
12.15	2.37
12.200000000000001	2.41
12.25	2.33
12.3	1.93
12.35	1.63
12.4	1.56
12.450000000000001	2.07
12.5	2.56
12.55	2.93
12.6	3
12.65	3.33
12.700000000000001	3.67
12.75	3.93
12.8	3.59
12.85	2.89
12.9	1.89
12.950000000000001	1.15
13	0.81
13.05	1.3
13.1	2.19
13.15	3.33
13.200000000000001	3.59
13.25	3.3
13.3	2.33
13.35	1.93
13.4	1.78
13.450000000000001	2.07
13.5	2.11
13.55	1.93
13.6	1.44
13.65	1.07
13.700000000000001	0.89
13.75	1
13.8	1.11
13.85	1.41
13.9	1.56
13.950000000000001	1.67
14	1.41
14.05	1.26
14.1	1.3
14.15	1.74
14.200000000000001	2.19
14.25	2.7
14.3	3.19
14.35	3.67
14.4	3.7
14.450000000000001	3.41
14.5	3
14.55	2.85
14.6	2.63
14.65	2.22
14.700000000000001	1.52
14.75	1.11
14.8	1.07
14.85	1.59
14.9	2.04
14.950000000000001	2.26
15	2.07
15.05	1.93
15.1	1.78
15.15	1.52
15.200000000000001	1.07
15.25	0.7
15.3	0.67
15.35	0.74
15.4	0.74
15.450000000000001	0.7
15.5	0.89
15.55	1.41
15.6	1.81
15.65	2
15.700000000000001	1.78
15.75	1.59
15.8	1.33
15.85	1.11
15.9	0.78
15.950000000000001	0.56
16	0.56
16.05	0.81
16.1	1.19
16.15	1.44
16.2	1.52
16.25	1.52
16.3	1.74
16.35	2.19
16.4	2.67
16.45	2.63
16.5	2.22
16.55	1.63
16.6	1.44
16.65	1.52
16.7	1.63
16.75	1.63
16.8	1.41
16.85	1.33
16.9	1.22
16.95	1.41
17	1.44
17.05	1.52
17.1	1.3
17.150000000000002	1.22
17.2	1.15
17.25	1.37
17.3	1.48
17.35	1.67
17.400000000000002	1.63
17.45	1.81
17.5	2.04
17.55	2.74
17.6	3.26
17.650000000000002	3.67
17.7	3.3
17.75	2.89
17.8	2.44
17.85	2.44
17.900000000000002	2.33
17.95	2
18	1.44
18.05	1.26
18.1	1.78
18.150000000000002	2.74
18.2	3.3
18.25	3.11
18.3	2.41
18.35	1.96
18.400000000000002	1.89
18.45	2.07
18.5	2.07
18.55	1.85
18.6	1.56
18.650000000000002	1.56
18.7	1.85
18.75	2.22
18.8	2.15
18.85	1.74
18.900000000000002	1.11
18.95	0.93
19	1.11
19.05	1.96
19.1	2.63
19.150000000000002	3.19
19.2	2.81
19.25	2.26
19.3	1.33
19.35	1.19
19.400000000000002	1.67
19.45	3
19.5	3.96
19.55	4.44
19.6	4.22
19.650000000000002	4
19.7	3.52
19.75	2.96
19.8	2.52
19.85	2.52
19.900000000000002	2.85
19.95	3.04
20	3.11
