GE	layer
1.24	Ect
-7.66	Ect
1.62	Ect
-8.46	Ect
-2.97	Ect
-4.94	Ect
-7.37	Ect
-6.46	Ect
-4.12	Ect
-4.34	Ect
-5.91	Ect
-4.6	Ect
-5.49	Ect
2.52	Ect
-4.87	Ect
-1.15	Ect
-1.61	Ect
-8.37	Ect
-9.65	Ect
-1.95	Ect
-8.89	Ect
-8.67	Ect
-3.41	Ect
-3.37	Ect
-6.86	Ect
-6.06	Ect
-2.15	Ect
-4.8	Ect
-9.84	Ect
-4.3	Ect
-9.52	Ect
-9.9	Ect
-3.61	Ect
-8.25	Ect
-7.75	Ect
-7.72	Ect
-9.24	Ect
-1.14	Ect
-4.11	Ect
-1.09	Ect
-9.49	Ect
-8.33	Ect
-1.92	Ect
-3.59	Ect
-7.65	Ect
-8.57	Ect
-2.17	Ect
5.85	Ect
-8.64	Ect
-8.81	Ect
-7.24	Ect
-0.4	Ect
2.52	Ect
-3.35	Ect
-9.81	Ect
-4.02	Ect
-2.32	Ect
-2.23	Ect
-0.44	Ect
-6.29	Ect
-0.94	Ect
-6.29	Ect
-8.29	Ect
-9.2	Ect
-7.98	Ect
-8.23	Ect
-5.52	Ect
-9.54	Ect
-3.98	Ect
-8.14	Ect
-9.76	Ect
-7.93	Ect
-9.74	Ect
-9.16	Ect
-2.8	Ect
-6.24	Ect
-7.67	Ect
-6.2	Ect
-3.24	Ect
-0.46	Ect
-8.82	Ect
-8.42	Ect
0.26	Ect
-3.44	Ect
-5.36	Ect
-7.15	Ect
-2.97	Ect
-7.51	Ect
-2.03	Ect
-0.37	Ect
-7.55	Ect
-6.01	Ect
0.1	Ect
-9.82	Ect
-8.36	Ect
-1.43	Ect
-3.22	Ect
3.66	Ect
-8.71	Ect
-2.93	Ect
-8.5	Ect
-3.48	Ect
-2.2	Ect
-1.67	Ect
-2.56	Ect
-0.84	Ect
-4.02	Ect
-4.1	Ect
-7.56	Ect
-9.35	Ect
-1.27	Ect
-6.91	Ect
-4.9	Ect
-0.88	Ect
-7.12	Ect
-5.51	Ect
-8.4	Ect
-4.5	Ect
-9.3	Ect
-9.81	Ect
-0.19	Ect
-1.91	Ect
-5.09	Ect
-8.36	Ect
-8.54	Ect
-7.99	Ect
-8.95	Ect
-10.24	Ect
-3.2	Ect
-9.2	Ect
-8.34	Ect
-10.34	Ect
2.43	Ect
-2.65	Ect
-7.13	Ect
-7.9	Ect
-7.14	Ect
-3.45	Ect
-2.42	Ect
-4.47	Ect
-3.81	Ect
-8.38	Ect
2.43	Ect
-3.92	Ect
-4.32	Ect
-3.17	Ect
-7.77	Ect
-8.83	Ect
-3.79	Ect
-9.2	Ect
-4.3	Ect
-9.3	Ect
-4.6	Ect
-7.86	Ect
-3.1	Ect
-6.82	Ect
-8.32	Ect
-6.63	Ect
-0.79	Ect
-1.3	Ect
-3.27	Ect
-5.98	Ect
-3.57	Ect
-2.07	Ect
-4.77	Ect
-7.76	Ect
-8.01	Ect
-5.6	Ect
-8.67	Ect
-2.24	Ect
-1.81	Ect
4.22	Ect
-9.86	Ect
-3.65	Ect
